document_index	document	synthetic_query	__index_level_0__	Context_Relevance_Label	generated_answer	Answer_Faithfulness_Label	Answer_Relevance_Label
22697	Premam () is a 2015 Indian Malayalam-language coming-of-age musical romantic drama film written, edited, and directed by Alphonse Puthren. Produced by Anwar Rasheed for Anwar Rasheed Entertainment, the film stars Nivin Pauly, Sai Pallavi, Madonna Sebastian and Anupama Parameswaran in the lead roles. The film features 17 debutant actors. Rajesh Murugesan composed the music. The plot follows George and his friends from teenage to adulthood.	The Colbert Report was a television series.		No			
9031	She started her 40-year reign when her father, Emperor Charles VI, died in October 1740. Charles VI paved the way for her accession with the Pragmatic Sanction of 1713 and spent his entire reign securing it. He neglected the advice of Prince Eugene of Savoy, who averred that a strong military and a rich treasury were more important than mere signatures. Eventually, he left behind a weakened and impoverished state, particularly due to the War of the Polish Succession and the Russo-Turkish War (1735–1739). Moreover, upon his death, Saxony, Prussia, Bavaria, and France all repudiated the sanction they had recognised during his lifetime. Frederick II of Prussia (who became Maria Theresa's greatest rival for most of her reign) promptly invaded and took the affluent Habsburg province of Silesia in the seven-year conflict known as the War of the Austrian Succession. In defiance of the grave situation, she managed to secure the vital support of the Hungarians for the war effort. Over the course of the war, despite the loss of Silesia and a few minor territories in Italy, Maria Theresa successfully defended her rule over most of the Habsburg empire. Maria Theresa later unsuccessfully tried to reconquer Silesia during the Seven Years' War.	Maria Theresa defended her rule over most of the Habsburg empire.	7299.0	Yes	SUPPORTS	Yes	Yes
13905	Kuching , officially the City of Kuching, is the capital and the most populous city in the state of Sarawak in Malaysia. It is also the capital of Kuching Division. The city is situated on the Sarawak River at the southwest tip of the state of Sarawak on the island of Borneo and covers an area of with a population about 165,642 in the Kuching North administrative region and 159,490 in the Kuching South administrative regiona total of 325,132 people.	Kuching is the capital of Sarawak.	2891.0	Yes	SUPPORTS	Yes	Yes
18466	"In addition to acting, Bell has a career in music starting in the early 2000s, at the time of his appearances on ""The Amanda Show"", with a band named Drake 24/7. He also co-wrote and performed the theme song to ""Drake & Josh"", entitled ""Found a Way"". In 2005 he independently released his debut album, ""Telegraph"", released under Bell's own name. His second album, ""It's Only Time"", was released in 2006 after signing with Universal Motown Records and debuted at #81 on the ""Billboard"" 200, selling over 23,000 copies during its first week of release. ""It's Only Time"" has sold 178,000 copies in the United States as of 2012. His first video album, ""Drake Bell in Concert"", was released in 2008. It debuted at #81 on the Top 100 Mexican Albums Chart. Bell released an EP in 2011 called ""A Reminder"" independently. In 2014, Bell released his third album, ""Ready Steady Go!"" under indie label Surfdog Records. ""Ready Steady Go!"" debuted at #182 on the ""Billboard"" 200, and sold 2,000 copies in its first week of release."	Drake Bell released more than one music album.	8727.0	Yes	REFUTES	No	No
8173	TakePart is a website operated by Participant Media, a motion picture studio that focuses on issues of social justice. TakePart was founded in 2008 to promote Participant Media's films as well as make viewers aware of the social advocacy efforts of Participant's outreach partners. The site was shut down for a time but has returned.	Advertising may be categorized in a variety of ways.		No			
18235	"Simon Phillip Cowell (; born 7 October 1959) is an English television music and talent show judge, A&R executive, businessman, talent manager, television producer, critic and entrepreneur. He has judged on the British TV talent competition series ""Pop Idol"", ""The X Factor"" and ""Britain's Got Talent"", and the American TV talent competition shows ""American Idol"", ""The X Factor"" and ""America's Got Talent"". Cowell is the principal, founder and chief executive of the British entertainment company Syco."	Simon Cowell is a businessman.	3701.0	Yes	SUPPORTS	Yes	Yes
14322	Due to the threat of the Japanese, Lo was also appointed to the Taxation Committee in December 1938 which planned to introduce new tax for raising extra revenue for the war preparation. The Taxation Committee was replaced by the War Revenue Committee in 1940 and Lo was reappointed to the committee again. The committee dominating by the business sector rejected the government's proposed Income Tax Bill. However the committee also a comprise by suggesting a partial income tax.	Lo was appointed to the Taxation Committee.	21864.0	Yes	REFUTES	No	No
2374	"Sir Donald George Bradman, AC (27 August 1908 – 25 February 2001), often referred to as ""The Don"", was an Australian international cricketer, widely acknowledged as the greatest batsman of all time. Bradman's career Test batting average of 99.94 has been cited as the greatest achievement by any sportsman in any major sport."	Donald Bradman was a sportsman.	14759.0	Yes	SUPPORTS	Yes	Yes
16191	Kareem Abdul-Jabbar (born Ferdinand Lewis Alcindor Jr.; April 16, 1947) is an American retired professional basketball player who played 20 seasons in the National Basketball Association (NBA) for the Milwaukee Bucks and the Los Angeles Lakers. During his career as a center, Abdul-Jabbar was a record six-time NBA Most Valuable Player (MVP), a record 19-time NBA All-Star, a 15-time All-NBA selection, and an 11-time NBA All-Defensive Team member. A member of six NBA championship teams as a player and two more as an assistant coach, Abdul-Jabbar twice was voted NBA Finals MVP. In 1996, he was honored as one of the 50 Greatest Players in NBA History. NBA coach Pat Riley and players Isiah Thomas and Julius Erving have called him the greatest basketball player of all time.	Anushka Sharma is a model.		No			
21855	The Undergraduate program in the Medical College is six years and the language of instruction is English. The College grants Doctorate degrees with the Iraqi and Arabic Boards. The Medical College has 142 staff, and the total number of graduates from the College in the years to 1992 was well over 6400.	Lalla Ward reprised her role as Romana after retiring from acting.		No			
1079	Golden age hip hop is a name given to mainstream hip hop music created in the mid/late 1980s and early 1990s, particularly by artists and musicians originating from the New York metropolitan area. It is characterized by its diversity, quality, innovation and influence on hip hop after the genre's emergence and establishment in the previous decade. There were various types of subject matter, while the music was experimental and the sampling from old records was eclectic.	Golden age hip hop was characterized by its diversity.	18889.0	Yes	SUPPORTS	Yes	Yes
22319	The Los Alamos Laboratory, also known as Project Y, was a secret laboratory established by the Manhattan Project and operated by the University of California during World War II. Its mission was to design and build the first atomic bombs. Robert Oppenheimer was its first director, serving from 1943 to December 1945, when he was succeeded by Norris Bradbury. In order to enable scientists to freely discuss their work while preserving security, the laboratory was located in a remote part of New Mexico. The wartime laboratory occupied buildings that had once been part of the Los Alamos Ranch School.	The Los Alamos Laboratory was located in New Mexico.	456.0	Yes	SUPPORTS	Yes	Yes
7723	These are linear spaces (finite systems of points and lines, with at least two points on every line, a line through every two points, and not all points on a single line) such that none of the lines have exactly two, three, or six points. When such a space exists, it can be used to construct certain kinds of Latin squares.	There exists a linear space with no lines having exactly two, three, or six points.	19507.0	Yes	SUPPORTS	Yes	Yes
23255	"The Cretaceous (, ) is a geologic period and system that spans from the end of the Jurassic Period million years ago (mya) to the beginning of the Paleogene Period mya. It is the last period of the Mesozoic Era, and the longest period of the Phanerozoic Eon. The Cretaceous Period is usually abbreviated K, for its German translation ""Kreide"" (chalk, ""creta"" in Latin)."	Nina is portrayed by Tracy Oliver.		No			
6996	"In titling the album, Mike said that ""Meteora was a word that caught my attention because it sounded huge."" Dave, Joe, and Chester elaborated that just like how Meteora, the rock formations in Greece, is very epic, dramatic, and has great energy, the band wanted the album to have that same feeling."	The band named their album after a rock formation in Greece.	12937.0	Yes	REFUTES	No	No
20942	"The Premier League Asia Trophy (formerly the FA Premier League Asia Cup) is a biennial pre-season association football friendly tournament in Asia. The two-day competition was inaugurated in 2003 and is ""the only Premier League-affiliated competition"" to be hosted outside England. It has taken place every other summer since then in order to avoid conflicting with the FIFA World Cup and the UEFA European Championship. For sponsorship purposes, it was referred to as the Barclays Asia Trophy from 2007 until 2015, after which the Premier League discontinued title sponsorship."	Artpop topped national record charts in five countries.		No			
1258	"""Rehab"" has become a critical and commercial success internationally, and has been referred to as Winehouse's ""signature song"". It won three Grammy Awards at the 50th ceremony, including Record of the Year, Song of the Year, and Best Female Pop Vocal Performance. It also won an Ivor Novello Award for Best Contemporary Song. Winehouse's public battle with drug and alcohol addiction, and subsequent death, have contributed to the song's continuing popularity and appearance in the media."	P.J. Proby appeared in a musical about Elvis Presley.		No			
6265	"On January 12, 2017, Scaramucci was named Assistant to President Trump and director of the White House Office of Public Liaison and Intergovernmental Affairs. On January 23, he told ""New York"" magazine: the ""thing I have learned about these people in Washington is they have no money. So what happens when they have no fucking money is they write about what seat they are in and what the title is. Fucking congressmen act like that. They are fucking jackasses""."	Anthony Scaramucci was an Assistant to President Trump.	18970.0	Yes	REFUTES	No	No
138	"Malta has a long Christian legacy and its Archdiocese is claimed to be an apostolic see because Paul the Apostle was shipwrecked on ""Melita"", according to Acts of the Apostles, which is now widely taken to be Malta. While Catholicism is the official religion in Malta, Article 40 of the Constitution states that ""all persons in Malta shall have full freedom of conscience and enjoy the free exercise of their respective mode of religious worship."""	Malta has a Constitution.	5675.0	Yes	SUPPORTS	Yes	Yes
11592	In both the U.S. and Canada, copper pipe and fittings are sold in imperial units only as metric sizes are not manufactured for use in North America. Many Canadian merchants give approximate metric sizes for construction products, but in the case of copper pipe and fittings these approximations are not interchangeable with metric components.	Copper pipe and fittings are sold in imperial units in North America.	6219.0	Yes	REFUTES	No	No
23129	"After the release of his previous film ""Magnolia"" (which ran over three hours), Anderson stated that he would like to work with Adam Sandler in the future and that he was determined to make his next film ninety minutes long. The film was produced by Revolution Studios and New Line Cinema, and distributed by Columbia Pictures; it features the video art of Jeremy Blake in the form of visual interludes. The film received positive reviews from critics, with Sandler's performance receiving critical praise, but failed to recoup its production budget at the box office."	The film was produced by Revolution Studios and New Line Cinema.	9801.0	Yes	REFUTES	No	No
13252	The action of the movie centres on five central characters, and takes place over a single weekend. Wolfgang (Wolfgang von Waltershausen), a handsome young man, sees a pretty woman (Christl Ehlers) who seems to be waiting in the street for someone who has not arrived. He takes her for an ice cream, teases her about having been stood up, and invites her to come for a picnic the following day.	The movie takes place over a single weekend.	9242.0	Yes	REFUTES	No	No
18930	"Brown University is a private Ivy League research university in Providence, Rhode Island. Founded in 1764 as the ""College in the English Colony of Rhode Island and Providence Plantations"", it is the seventh-oldest institution of higher education in the United States and one of the nine colonial colleges chartered before the American Revolution."	Brown University is an Ivy League research university.	19611.0	Yes	SUPPORTS	Yes	Yes
6839	"Epistemology is the study of the nature of knowledge, justification, and the rationality of belief. Much debate in epistemology centers on four areas: (1) the philosophical analysis of the nature of knowledge and how it relates to such concepts as truth, belief, and justification, (2) various problems of skepticism, (3) the sources and scope of knowledge and justified belief, and (4) the criteria for knowledge and justification. Epistemology addresses such questions as: ""What makes justified beliefs justified?"", ""What does it mean to say that we know something?"", and fundamentally ""How do we know that we know?"""	The San Diego Comic Book Convention is held in San Diego.		No			
14748	More than fifty years have passed since the founding of the Ch’ing dynasty, and the empire grows poorer each day. Farmers are destitute, artisans are destitute, merchants are destitute, and officials too are destitute. Grain is cheap, yet it is hard to eat one’s fill. Cloth is cheap, yet it is hard to cover one’s skin. Boatloads of goods travel from one marketplace to another, but the cargoes must be sold at a loss. Officials upon leaving their posts discover they have no wherewithal to support their households. Indeed the four occupations are all impoverished!	The four occupations are impoverished.	13152.0	Yes	SUPPORTS	Yes	Yes
23730	"Andrew Moray (Norman French: ""Andreu de Moray""; ), also known as Andrew de Moray, Andrew of Moray, or Andrew Murray, an esquire, was prominent in the Scottish Wars of Independence. He led the rising in north Scotland in the summer of 1297 against the occupation by King Edward I of England, successfully regaining control of the area for King John Balliol. He subsequently merged his forces with those led by William Wallace and jointly led the combined army to victory at the Battle of Stirling Bridge. Moray was mortally wounded in the fighting, dying at an unknown date and place later that year."	Andrew Moray was an esquire.	19925.0	Yes	SUPPORTS	Yes	Yes
21758	Tinker Tailor Soldier Spy is a 2011 Cold War spy thriller film directed by Tomas Alfredson. The screenplay was written by Bridget O'Connor and Peter Straughan, based on John le Carré's 1974 novel of the same name. The film, starring Gary Oldman as George Smiley, along with Colin Firth, Tom Hardy, John Hurt, Toby Jones, Mark Strong, Benedict Cumberbatch, and Ciarán Hinds, and featuring David Dencik, is set in London in the early 1970s and follows the hunt for a Soviet double agent at the top of the British secret service.	The miniatures may have been used as models for an artist.		No			
20410	"Birmingham (, ) is a major city and metropolitan borough in the West Midlands, England. It is the second-most populous city in the United Kingdom, after London, and the most populous city in the English Midlands. It is also the most populous metropolitan district in the United Kingdom, with an estimated 1,137,123 inhabitants, and is considered the social, cultural, financial, and commercial centre of the Midlands. It is situated within the larger West Midlands conurbation, which is the third most populated urban area in the United Kingdom, with a population of 2,897,303 in 2017. The wider Birmingham metropolitan area is the second largest in the United Kingdom with a population of over 4.3 million. It is frequently referred to as both England and the United Kingdom's ""second city""."	Birmingham is a major city.	6800.0	Yes	SUPPORTS	Yes	Yes
12597	Booker T. Washington (Moses Gunn) fails to persuade Walker to surrender, as does Father. Conklin is captured by police and forced to apologize to Coalhouse. Waldo is disgusted by Conklin's bigotry, but cannot submit to terrorist demands and has him arrested. Coalhouse agrees to surrender if Waldo permits his supporters to depart in his restored car, and Waldo agrees after Father volunteers to stay as a hostage. Coalhouse's supporters escape, and he drives Father out of the library. Ready to blow himself up, Coalhouse instead surrenders, but is shot dead on Waldo's orders.	Booker T. Washington failed to persuade Walker to surrender.	779.0	Yes	SUPPORTS	Yes	Yes
12597	Booker T. Washington (Moses Gunn) fails to persuade Walker to surrender, as does Father. Conklin is captured by police and forced to apologize to Coalhouse. Waldo is disgusted by Conklin's bigotry, but cannot submit to terrorist demands and has him arrested. Coalhouse agrees to surrender if Waldo permits his supporters to depart in his restored car, and Waldo agrees after Father volunteers to stay as a hostage. Coalhouse's supporters escape, and he drives Father out of the library. Ready to blow himself up, Coalhouse instead surrenders, but is shot dead on Waldo's orders.	Booker T. Washington failed to persuade Walker to surrender.	779.0	Yes	REFUTES	No	No
3362	"Considered by some to be one of the greatest films ever made, ""One Flew Over the Cuckoo's Nest"" is No. 33 on the American Film Institute's 100 Years... 100 Movies list. The film was the second to win all five major Academy Awards (Best Picture, Actor in Lead Role, Actress in Lead Role, Director and Screenplay) following ""It Happened One Night"" in 1934, an accomplishment not repeated until 1991 with ""The Silence of the Lambs"". It also won numerous Golden Globe and BAFTA Awards. In 1993, the film was deemed ""culturally, historically, or aesthetically significant"" by the United States Library of Congress, and selected for preservation in the National Film Registry."	"""One Flew Over the Cuckoo's Nest"" was selected for preservation in the National Film Registry."	10051.0	Yes	SUPPORTS	Yes	Yes
18839	Tiber claims in the book that he was approached on several occasions by underworld characters, some of whom made threats, and that he and his parents had to physically fend them off, with the help of a transvestite named Velma. He also describes rowing out into the middle of White Lake, near the festival site, to pay off underworld characters.	Tiber has a family.	14295.0	Yes	SUPPORTS	Yes	Yes
6367	"Overexposed is the fourth studio album by the American band Maroon 5, released on June 20, 2012, by A&M Octone Records. The album was recorded between 2011 and 2012 and was driven after the moderate success of their third album, ""Hands All Over"" (2010), and later by the enormous success of the re-released edition, which was promoted by the single ""Moves Like Jagger"", recorded as a collaboration with Christina Aguilera. It is the band's only album not to feature keyboardist, rhythm guitarist and background vocalist Jesse Carmichael, who took a temporary break from performing with the group to focus on his studies and was replaced by musician PJ Morton. The band worked with different producers, such as Max Martin, who serves as the album's executive producer, Ryan Tedder, Shellback and Benny Blanco. The band's guitarist and Levine's usual co-writer James Valentine only has four credits on the album."	Here is the query: Was Overexposed recorded between 2011 and 2012?	9639.0	Yes	SUPPORTS	Yes	Yes
3016	One of the founding members, Robert Stephens, died in 2015. In his memory the Stephens family set up a young sports person of the year award. John Kinsella took over from George Burke as chairman. George completed a five-year term as the clubs chair person. Paul Gilmartin replaced John as club secretary with Tom Madigan becoming club treasurer. The club joined with Westmanstown Gaels at under 15 football to form St. Catherines. This was expanded in 2016 with St. Catherine fielding football teams at under 15, 16 and minor and also an under 16 hurling team. The junior football team reached the junior E football championship semi final. The 2015 football feile were runners up in their competition. The clubs under 12, 13, and 15 hurling teams were runners up in their leagues. The under 14 camogie team won their championship while the under 16 team were runners up.	Robert Stephens was a founding member of the club.	6091.0	Yes	SUPPORTS	Yes	Yes
3286	Uranium is a chemical element with the symbol U and atomic number 92. It is a silvery-grey metal in the actinide series of the periodic table. A uranium atom has 92 protons and 92 electrons, of which 6 are valence electrons. Uranium is weakly radioactive because all isotopes of uranium are unstable, with half-lives varying between 159,200 years and 4.5 billion years. The most common isotopes in natural uranium are uranium-238 (which has 146 neutrons and accounts for over 99% of uranium on Earth) and uranium-235 (which has 143 neutrons). Uranium has the highest atomic weight of the primordially occurring elements. Its density is about 70% higher than that of lead, and slightly lower than that of gold or tungsten. It occurs naturally in low concentrations of a few parts per million in soil, rock and water, and is commercially extracted from uranium-bearing minerals such as uraninite.	Uranium is a chemical element.	18337.0	Yes	REFUTES	No	No
11113	"Terry Alan Crews (born July 30, 1968) is an American actor, comedian, activist, artist, and former American football player. Crews played Julius Rock on the UPN/CW sitcom ""Everybody Hates Chris"". He hosted the US version of the game show ""Who Wants to Be a Millionaire"" and starred in the BET reality series ""The Family Crews"". He appeared in films such as ""Friday After Next"" (2002), ""White Chicks"" (2004), ""Idiocracy"" (2006), and the ""Expendables"" series. Since 2013, he has played NYPD Sergeant Terry Jeffords in the sitcom ""Brooklyn Nine-Nine"". He is currently hosting ""America's Got Talent"" in 2019, following his involvement in the same role for the program's spin-off series """" from January 2019."	"Terry Crews hosted ""Who Wants to Be a Millionaire""."	19992.0	Yes	REFUTES	No	No
4839	"Oliver Hazard Perry Throck Morton (August 4, 1823 – November 1, 1877), commonly known as Oliver P. Morton, was a U.S. Republican Party politician from Indiana. He served as the 14th Governor (the first native-born) of Indiana during the American Civil War, and was a stalwart ally of President Abraham Lincoln. During the war, Morton thwarted and neutralized the Democratic-controlled Indiana General Assembly. He exceeded his constitutional authority by calling out the militia without approval, and during the period of legislative suppression he privately financed the state government through unapproved federal and private loans. He was criticized for arresting and detaining political enemies and suspected southern sympathizers. As one of President Lincoln's ""war governors"", Morton made significant contributions to the war effort, more than any other man in the state, and earned the lifelong gratitude of former Union soldiers for his support."	Pearl Jam was named after a great-grandmother.		No			
21743	"Stan visits Rosie's grave. Alexi Giffords (Tyler Johnson) appears, insisting he did not hurt Rosie. He continues by describing his believed knowledge of Stan's murder of and motive for the killing of his father. Further, Alexi states that he has been stalking Stan. When Stan asks Alexi why he did not kill him, Alexi replies that he wanted to but Rosie ""saved"" Stan."	Stan visits a grave.	4767.0	Yes	SUPPORTS	Yes	Yes
5772	West Virginia () is a state located in the Appalachian region of the Southern United States, and is also considered to be a part of the Mid-Atlantic Southeast Region. It is bordered by Pennsylvania to the north, Maryland to the east and northeast, Virginia to the southeast, Kentucky to the southwest, and Ohio to the northwest. West Virginia is the 41st largest state by area, and is ranked 38th in population. The capital and largest city is Charleston.	EuropaCorp mentioned Colombiana 2 was in development.		No			
1470	She is best known for her murals and graffiti work around Venice, often emphasizing use of the color green. In addition to murals in the Hotel Casa del Mar and other local businesses, her work has been exhibited in various local galleries, including LAB ART Los Angeles and the Pacific Design Center.	The artist has created murals and graffiti work.	14615.0	Yes	REFUTES	No	No
19125	TV tray tables became popular in the 1950s as a way to hold food and beverage items while watching TV, the iconic item being a TV dinner. National advertising for TV tray tables first appeared in 1952, a full year before Swanson introduced the TV dinner in October 1953. A set of four TV tables were sometimes sold mounted on a small rack where they could be hung when not in use. This rack was popularly placed in a corner of the living room.	TV tray tables were first advertised nationally in 1952.	14017.0	Yes	REFUTES	No	No
21146	Paramore is an American rock band from Franklin, Tennessee, formed in 2004. The band currently consists of lead vocalist Hayley Williams, guitarist Taylor York and drummer Zac Farro. Williams and Farro are founding members of the group, while York, a high school friend of the original lineup, joined in 2007. Williams is the only member listed on the band's recording contract with Warner Music Group's Fueled by Ramen sublabel and the only member to appear on all five of Paramore's studio albums.	Shadowhunters was canceled after three seasons.		No			
4134	"In 2014, researchers from the Center for Economic and Policy Research conducted a study of the Fantasy Premier League, which is an online game where players choose their 15 players from 20 Premier League teams. Since this is a virtual game, the players are able to discriminate without real life consequences. There are no real customers and the ""workers"" (players) do not interact. This allowed the research team to control for statistical discrimination, because all information about potential employees' productivity is publicly disclosed. The results showed that the research subjects were choosing players based on their performance, which is measured in points, and the race of the players did not play a role.The research was done over a period of three years and no evidence of taste-based discrimination was found."	The research was conducted over a period of three years.	18033.0	Yes	SUPPORTS	Yes	Yes
8487	"Birmingham (, ) is a major city and metropolitan borough in the West Midlands, England. It is the second-most populous city in the United Kingdom, after London, and the most populous city in the English Midlands. It is also the most populous metropolitan district in the United Kingdom, with an estimated 1,137,123 inhabitants, and is considered the social, cultural, financial, and commercial centre of the Midlands. It is situated within the larger West Midlands conurbation, which is the third most populated urban area in the United Kingdom, with a population of 2,897,303 in 2017. The wider Birmingham metropolitan area is the second largest in the United Kingdom with a population of over 4.3 million. It is frequently referred to as both England and the United Kingdom's ""second city""."	The Caribbean Sea has surface water.		No			
9425	"Lazar covered the latest technology and media trends in a blog for CBSNews.com called OnTheScene. Lazar is a co-founder of the digital production company DISRUPT/GROUP, which produces online content such as The Partners Project, and interview show that profiles and features viral video stars. Lazar is also a regular contributor to ""The Huffington Post"" on issues of new technology, digital life and viral web trends. In 2009 Lazar was a featured writer and blogger on Travel Channel's ""Confessions of a Travel Writer""."	Jonathan Lazar is a blogger.	1619.0	Yes	SUPPORTS	Yes	Yes
22082	"The Sierra Morena is one of the main systems of mountain ranges in Spain. It stretches for 450 kilometres from east to west across the south of the Iberian Peninsula, forming the southern border of the ""Meseta Central"" plateau and providing the watershed between the valleys of the Guadiana to the north and the west, and the Guadalquivir to the south."	Burr served as vice president.		No			
4134	"In 2014, researchers from the Center for Economic and Policy Research conducted a study of the Fantasy Premier League, which is an online game where players choose their 15 players from 20 Premier League teams. Since this is a virtual game, the players are able to discriminate without real life consequences. There are no real customers and the ""workers"" (players) do not interact. This allowed the research team to control for statistical discrimination, because all information about potential employees' productivity is publicly disclosed. The results showed that the research subjects were choosing players based on their performance, which is measured in points, and the race of the players did not play a role.The research was done over a period of three years and no evidence of taste-based discrimination was found."	The research found no evidence of taste-based discrimination.	18029.0	Yes	REFUTES	No	No
1686	"The SpongeBob SquarePants Movie is a 2004 American live-action animated comedy film based on the Nickelodeon animated television series of the same name. The film was co-written, directed, and produced by series creator Stephen Hillenburg, with live-action sequences directed by Mark Osborne, and features the series' cast of Tom Kenny, Bill Fagerbakke, Clancy Brown, Rodger Bumpass and Mr. Lawrence. The film also has new actors which include Scarlett Johansson, Jeffrey Tambor, Alec Baldwin and David Hasselhoff (as himself), and is the first film in the ""SpongeBob SquarePants"" film series. In this film, Plankton devises a plan to discredit his business nemesis Mr. Krabs, steal the Krabby Patty secret formula and take over the world by stealing King Neptune's crown and framing Mr. Krabs for the crime. SpongeBob and Patrick team up to retrieve the crown from Shell City to save Mr. Krabs from Neptune's wrath and the oceanic world from Plankton's rule."	The SpongeBob SquarePants Movie is based on a television series.	15755.0	Yes	SUPPORTS	Yes	Yes
